feature,importance
vehicle_claim,8.973820400833318
incident_day,8.693393105275074
total_claim_amount,6.436548102542707
incident_hour,6.005017201214586
incident_month,5.970408635084682
injury_claim,5.588127417529555
num_witnesses,5.465459734370114
num_injuries,4.964363250760419
incident_dow,4.938491051017345
months_as_customer,4.566386440241939
customer_age,3.7459265312474948
customer_education,3.644492902434073
incident_severity,3.2905838704725956
customer_gender_male,3.012587520042319
num_vehicles_involved,2.9811760512860856
auto_year,2.749993349670506
num_insurers_past_5_years,2.725542131145671
policy_annual_premium,1.7801240350846337
policy_liability,1.5771509373961634
authorities_contacted_none,1.1921564404469682
collision_type_rear,1.148798523882115
customer_gender_female,0.9993061881291617
collision_type_front,0.8526400246947563
collision_type_side,0.812483620548596
driver_relationship_child,0.8116461208745307
authorities_contacted_police,0.6543009648404967
driver_relationship_self,0.6130058725755885
policy_state_ca,0.5751751419511975
driver_relationship_other,0.5628664325541144
num_claims_past_year,0.5082727861461573
driver_relationship_spouse,0.49734941128344995
incident_type_theft,0.48703404106331316
police_report_available,0.42407561693265894
incident_type_breakin,0.37152878243373255
policy_state_az,0.30570495677591014
collision_type_na,0.2906940204848352
incident_type_collision,0.2812033641487668
policy_state_nv,0.25437256972326605
policy_state_or,0.24977244870401685
driver_relationship_na,0.23391404739206406
policy_state_wa,0.20569155696428457
authorities_contacted_ambulance,0.15908207955833673
policy_state_id,0.15664487822561626
policy_deductable,0.15296742123012683
authorities_contacted_fire,0.08972002078666828
