feature,importance
num_witnesses,0.07059809
customer_gender_male,0.05400976
num_insurers_past_5_years,0.043502297
num_injuries,0.043467265
num_vehicles_involved,0.039763615
policy_state_nv,0.025941042
incident_severity,0.025599945
driver_relationship_other,0.025372868
customer_gender_female,0.025052313
collision_type_rear,0.024986237
collision_type_side,0.024496147
incident_day,0.022546273
driver_relationship_self,0.022379404
num_claims_past_year,0.022137582
months_as_customer,0.022134857
incident_hour,0.021876529
vehicle_claim,0.021739304
injury_claim,0.021723133
customer_education,0.021627905
policy_deductable,0.021470852
incident_type_theft,0.020499881
incident_dow,0.020109003
incident_month,0.019544689
total_claim_amount,0.019116564
policy_liability,0.019083582
policy_annual_premium,0.019082319
policy_state_az,0.019079488
customer_age,0.019000946
auto_year,0.018908046
incident_type_breakin,0.018818632
police_report_available,0.01880155
policy_state_or,0.01746815
authorities_contacted_police,0.017400276
authorities_contacted_ambulance,0.016891122
policy_state_ca,0.016634734
driver_relationship_spouse,0.016139505
authorities_contacted_fire,0.015562019
policy_state_wa,0.015506033
collision_type_front,0.014299426
authorities_contacted_none,0.013882774
driver_relationship_child,0.013822815
policy_state_id,0.012208571
collision_type_na,0.011302409
incident_type_collision,0.006412003
driver_relationship_na,0.0
